Semester,Cycle,Subject,Keywords,Notes Link
1st,Physics,New Physics,"physics, science, mechanics",https://drive.google.com/drive/folders/1e-LQMg0B7XF9wJDfWg4vWwc8SZg16LXt
1st,Physics,Problem Solving,"problem solving, psp, logic",https://drive.google.com/drive/u/5/folders/1yKkXdRkNXuui8Ysq7hCygAPak9OS49O_
1st,Physics,Maths,"math, maths, calculus, algebra",https://drive.google.com/drive/folders/1sYdBua6wr7uhMYw4uIKw5hrPtYd10c_B
1st,Physics,Basic Electronics,"electronics, basic electronics, circuits",https://drive.google.com/drive/folders/17iJtHYPWgAjSgAG1-SPQKYIBfQsDTcYK
1st,Physics,Cyber Security,"cyber security, security, hacking",https://drive.google.com/drive/folders/17kg_R1QPAVeMBKRJIIcAtGzJH7h1UIw2
1st,Physics,Python,"python, programming, coding",https://drive.google.com/drive/folders/1z5Ai6kwTfIdODpzdKd6imVBjoNWZNqL5
1st,Physics,English,"english, grammar, language",https://drive.google.com/drive/folders/17lhdfYPpJruKzbPyIbqv2wL9TBdvwgDq
1st,Physics,Constitution of India,"constitution, india, law",https://drive.google.com/drive/folders/17na00jELfbtiLk7gdjzpFRbZ58AtEAyf
1st,Physics,Civil,"civil, civil engineering, structures",https://drive.google.com/drive/folders/1bfCQooRwbnmkJC_W18mTRYzTgfWHJhEb
1st,Physics,PSP,"psp, problem solving, logic",https://drive.google.com/drive/u/5/folders/1yKkXdRkNXuui8Ysq7hCygAPak9OS49O_
1st,Chemistry,Chemistry,"chemistry, chemical, reactions",https://drive.google.com/drive/folders/11s9sgR-Hpb40p2tVlsetlBWcE6UPIubO
1st,Chemistry,Maths,"math, maths, calculus, algebra",https://drive.google.com/drive/folders/1DL06euTxLjK1GWH2AFPaB1Yfd5mxf_8j
1st,Chemistry,C Programming,"c programming, coding, programming",https://drive.google.com/drive/folders/134H9d31TReG8O_qgglnE9qqgctLtEv-z
1st,Chemistry,PSP,"psp, problem solving, logic",https://drive.google.com/drive/folders/1yKkXdRkNXuui8Ysq7hCygAPak9OS49O_
1st,Chemistry,BEE,"bee, basic electrical engineering",https://drive.google.com/drive/folders/19sv3ZFsqBuNxB3Ltuyu6YwYJLh_86q__
1st,Chemistry,IT Skills,"it skills, computer skills",https://drive.google.com/drive/folders/11qYDOnYNVIRyVNSYOFan64n-RHn8ozIa
1st,Chemistry,Cyber Security,"cyber security, security, hacking",https://drive.google.com/drive/folders/17kg_R1QPAVeMBKRJIIcAtGzJH7h1UIw2
1st,Chemistry,ADLD,"adld, advanced digital logic design",https://drive.google.com/drive/folders/16T2_I_JIEisswgPj4Xk6S_OY_DTtCklG
1st,Chemistry,Bio and EVS,"bio, evs, environment, biology",https://drive.google.com/drive/folders/13K6Hwh_bkWi1hBb9iYAJf6nQcS6In0AQ
1st,Chemistry,EV,"ev, environmental studies",https://drive.google.com/drive/folders/1EBRbMBS6r42GQ60k8O4AdkiC_0muZ1TF
